game_id,inning,batting_team,batter,pitch_sequence,event_text,ejection_flag,ejectee,job_code,ump_id,reason
TEX200007300,9,0,higgb001,CCC,K/C,ej,higgb001,P,wintm901,Balls and strikes
TEX200008300,8,1,palmr001,SCBFC,K/C,ej,palmr001,P,wendh902,Balls and strikes
TEX200009220,7,1,cataf001,LCBBFX,43/G,ej,cataf001,P,dimum901,Call at 1B (Threw helmet)
TOR200004180,9,0,spies001,H,HP,ej,frasj001,P,clara901,Intentional HBP
TOR200004180,9,1,mondr002,CCX,7/F7,ej,mondr002,P,clara901,Balls and strikes
TOR200005170,2,1,fletd001,X,46(1)3/GDP,ej,bevit801,C,carlm901,Balls and strikes
TOR200007210,9,0,mcgrf001,SFS,K,ej,murre001,C,wintm901,Balk call
TOR200009080,9,0,higgb001,BCFBBX,13/G,ej,higgb001,P,reilm901,Fair/foul call
TOR200009190,7,1,stews002,CFBFBS,K,ej,stews002,P,carlm901,Balls and strikes
TOR200009200,8,1,stews002,BX,3/P3,ej,martt002,P,timmt901,Bench jockeying
ANA200104100,7,1,hillg001,BX,64(1)/FO.2-3,ej,sciom001,M,danlk901,Balls and strikes
ANA200109100,5,0,boonb002,CF2,PO2(14),ej,mclem001,P,barkl901,Call at 2B
ANA200110020,6,0,marte001,BCH,HP.1-2,ej,marte001,P,monte901,Charging mound after HBP
ANA200110020,8,1,glaut001,CH,HP,ej,pinej001,P,monte901,Intentional HBP
ANA200110020,8,1,glaut001,CH,HP,ej,pinil001,M,monte901,Intentional HBP
ANA200110030,9,1,davaj001,FBSX,FC3.3XH(32);2-3;B-1,ej,kenna001,P,randt901,Call at HP
ARI200104070,9,1,gracm001,BCFBS,K,ej,brenb001,M,gibsg901,Checked swing
ARI200104070,9,1,gracm001,BCFBS,K,ej,gracm001,P,gibsg901,Checked swing
ARI200104110,4,0,grudm001,CB,WP.2-3,ej,batim001,P,higgs901,Throwing at batter
ARI200104260,6,1,bellj001,SSFX,53/G,ej,cox-b103,M,marqa901,Balls and strikes
ARI200104270,1,1,gonzl001,CBFS,K23,ej,welcb001,C,emmep901,Balls and strikes
ARI200105130,6,1,sandr002,BBH,HP,ej,persr001,P,mealj901,Intentional HBP
ARI200105210,4,0,snowj001,FBCBFS,K23,ej,baked002,M,relic901,Fair/foul call
ARI200105210,4,0,snowj001,FBCBFS,K23,ej,snowj001,P,relic901,Fair/foul call (threw bat)
